match_id,map,game_start,agent,kills,deaths,assists,score,shots_total,hs_percent,kd_ratio,total_engagements,win
7d758ea0-3319-4d2b-96a9-9f3f9fb31d81,Abyss,2024-12-29T18:35:23.163Z,Clove,21,19,11,6374,79,16.455696202531644,1.105263157894737,51,0.0
944afb21-97a2-4e36-b9ff-8e2b9c03b66c,Bind,2024-12-29T04:10:23.539Z,Chamber,28,8,1,7132,56,37.5,3.5,37,1.0
55fe2c14-bac2-4dd2-a2e0-7732a7bc9f3d,Split,2024-12-29T01:24:13.655Z,Reyna,19,18,8,4950,58,13.793103448275861,1.0555555555555556,45,0.0
80de1c86-c37d-4ede-9afd-ee05e8d7c74b,Split,2024-12-28T04:08:03.901Z,Reyna,20,14,2,5373,45,37.77777777777778,1.4285714285714286,36,0.0
0276759e-78a0-4cee-bdc9-82f3ad1bceec,Haven,2024-12-28T03:19:25.685Z,Reyna,24,20,6,7281,69,31.88405797101449,1.2,50,1.0
e60e65d5-5946-4528-8cf4-d8900e80ad87,Pearl,2024-12-28T02:01:34.806Z,Chamber,15,16,2,4004,38,23.684210526315788,0.9375,33,0.0
901153c8-7744-441c-9210-7a9169da1610,Sunset,2024-12-28T01:27:47.768Z,Clove,20,13,12,5780,47,40.42553191489361,1.5384615384615385,45,1.0
09395e4c-5992-4aee-8df7-3aeda0910cd4,Sunset,2024-12-27T19:47:18.659Z,Reyna,15,14,3,4249,43,30.23255813953488,1.0714285714285714,32,1.0
35bc5657-f36a-47c4-a1fc-ad683466dbf8,Pearl,2024-12-26T21:32:50.254Z,Chamber,14,12,5,3785,46,17.391304347826086,1.1666666666666667,31,1.0
84e3fbf7-544f-4c98-8782-1ff29ed18c26,Split,2024-12-26T20:56:36.859Z,Reyna,17,16,4,5143,56,21.428571428571427,1.0625,37,0.0
e1d83fcf-955d-4b5d-892e-5fc2193a95e0,Sunset,2024-12-24T19:53:04.987Z,Reyna,15,15,3,4625,52,25.0,1.0,33,1.0
cd64a94a-30e8-45f8-baaf-221574856d59,Pearl,2024-12-24T00:40:49.702Z,Chamber,21,16,4,5999,55,23.636363636363637,1.3125,41,0.0
6b05807e-e6bd-44ec-ae8e-68b420194340,Haven,2024-12-23T22:08:01.133Z,Chamber,21,15,4,6026,55,23.636363636363637,1.4,40,0.0
a3847889-7952-422f-9abc-61e2b744cfaa,Split,2024-12-23T21:33:24.558Z,Reyna,14,17,5,4528,58,17.24137931034483,0.8235294117647058,36,0.0
d74c9879-a400-4097-9b62-94197ca2ab38,Haven,2024-12-23T20:44:49.567Z,Chamber,22,16,6,6363,59,20.33898305084746,1.375,44,1.0
c44510e2-be1f-44ea-a66f-e0520f5e6a66,Bind,2024-12-23T19:27:41.658Z,Chamber,23,8,0,5394,46,32.608695652173914,2.875,31,1.0
